channel_id,train_length,test_length,min,max,mean,std,anomaly_intervals,anomaly_points,class
A-1,2880,8640,-1.0,1.0,0.06163425925925926,0.2405093274783349,1,85,[point]
A-2,2648,7914,-1.0,1.0,0.019610451335938542,0.17906415637569909,1,111,[contextual]
A-3,2736,8205,-1.0,1.0,0.021314907950132134,0.16827067655651087,1,186,[contextual]
A-4,2690,8080,-1.0,1.0,0.025798672261063443,0.15926356012427959,1,111,[contextual]
A-5,705,4693,-0.9999999999999999,0.9999999999999998,-0.015327107679072164,0.1653814417254165,1,51,[point]
A-6,682,4453,-1.0,0.9999999999999998,-0.009231104750221495,0.055637286897635085,1,41,[point]
A-7,2879,8631,-1.0,1.0,-0.01348403956943411,0.10408117935049134,1,2401,[contextual]
A-8,762,8375,-1.0,1.0000000000000002,-0.022211901548582366,0.14133811782979908,1,3806,[contextual]
A-9,762,8434,-1.0,1.0,-0.018002602877814692,0.13069137524590344,1,3865,[contextual]
B-1,2435,8044,-1.0,1.0,-0.008970661362506216,0.20357101528473517,1,71,[point]
C-1,2158,2264,-1.0,1.0,-0.006227608243423858,0.1195328940668554,2,312,"[point, contextual]"
C-2,764,2051,-1.0,1.0,-0.005404534010855188,0.11503503805897163,2,137,"[point, contextual]"
D-1,2849,8509,-0.9999999999999999,1.0,0.0013207068676509737,0.17486571962594252,1,3259,[point]
D-11,2611,7431,-1.0,1.0,-0.003226974717104969,0.17944235487355206,1,61,[point]
D-12,312,7918,-0.9999999999999999,1.0,-0.02615034560943062,0.1778050083965394,1,2740,[point]
D-13,1490,7663,-1.0,1.0,-0.009620253164556962,0.20845710462923636,1,161,[point]
D-14,3675,2625,-1.0,1.0,-0.006865058750773036,0.1638879987302756,2,222,"[point, point]"
D-15,2074,2158,-1.0,1.3757519666820917,0.019190348408191553,0.15367129809800079,1,641,[point]
D-16,1451,2191,-1.0,1.0,0.001218050434215771,0.14411152231208446,1,651,[contextual]
D-2,2880,8595,-1.0,1.0,0.016195462478184992,0.24600249993362583,1,4218,[point]
D-3,2880,8640,-0.9999999999999998,1.0000000000000004,-0.0016209303465759561,0.22146183182425838,1,3276,[point]
D-4,2833,8473,-0.9999999999999998,1.0000000000000004,-0.0017077100185366326,0.22370245008952186,1,3248,[point]
D-5,2561,7628,-1.0,1.0,-0.01743412758967837,0.2489249714408124,1,51,[point]
D-6,2594,7884,-1.0,1.0,-0.018165550511408,0.24736954646028209,1,81,[point]
D-7,2583,7642,-1.0,1.0,-0.001644857367181366,0.2335974321153352,1,2702,[point]
D-8,2602,7874,-1.0,1.0,-0.03879095758191516,0.19923389271818906,1,51,[point]
D-9,2583,7406,-1.0,1.0,-0.02847961112611396,0.20207974846474178,1,1156,[point]
E-1,2880,8516,-1.0,1.0,-0.009431658055425082,0.22922249538515346,2,508,"[contextual, contextual]"
E-10,2880,8505,-1.0,1.0,-0.00891822722959273,0.23059007932687992,2,322,"[contextual, contextual]"
E-11,2880,8514,-1.0,1.0,-0.008839516716417443,0.23055491454729898,2,295,"[contextual, contextual]"
E-12,2880,8512,-1.0,1.0000000000000002,-0.010696804511278194,0.23055191908939707,2,583,"[contextual, contextual]"
E-13,2880,8640,-1.0,1.0,-0.0031365536184650555,0.22030763632686584,3,264,"[contextual, contextual, contextual]"
E-2,2880,8532,-0.9999999999999998,1.0,0.0002636126610061784,0.152892410031388,1,1398,[point]
E-3,2880,8307,-1.0,1.0000000000000004,0.0337318318303784,0.18577916552129678,1,3213,[point]
E-4,2880,8354,-0.9999999999999999,1.0000000000000004,0.007261983081570569,0.14116236695385664,1,2812,[point]
E-5,2880,8294,-1.0,1.0,-0.018013021461297324,0.2133671556607142,1,321,[point]
E-6,2880,8300,-1.0,1.0,0.054062418348091154,0.22578271099669495,1,66,[point]
